Date,EstimatedTransactionVolUSD
2019-09-21,1297619718.14635
2019-09-22,552377407.450051
2019-09-23,855073770.204309
2019-09-24,3139283339.2161
2019-09-25,2087385264.72149
2019-09-26,1313285336.69414
2019-09-27,1158429641.01496
2019-09-28,580178846.7763
2019-09-29,461412848.670824
2019-09-30,1032865548.01648
2019-10-01,1076885942.12558
2019-10-02,753518693.099858
2019-10-03,941153423.813483
2019-10-04,734036334.988344
2019-10-05,375403716.022211
2019-10-06,437929223.289477
2019-10-07,858436648.340689
2019-10-08,951086445.4266
2019-10-09,1063632108.53833
2019-10-10,1061857762.2837
2019-10-11,940680504.466421
2019-10-12,434035291.224281
2019-10-13,358793113.390658
2019-10-14,1712938625.03762
2019-10-15,933447813.563032
2019-10-16,944835135.107188
2019-10-17,1260759811.25633
2019-10-18,1046146449.48076
2019-10-19,393045996.900051
2019-10-20,335445114.082607
2019-10-21,949795298.925235
2019-10-22,996706690.858345
2019-10-23,1296382266.37079
2019-10-24,984320293.086673
2019-10-25,1334170237.65914
2019-10-26,1256366630.61245
2019-10-27,721778043.423887
2019-10-28,1882149479.09526
2019-10-29,1157811408.23295
2019-10-30,933497841.255334
2019-10-31,1573437647.47653
2019-11-01,2074156433.79762
2019-11-02,736867493.36135
2019-11-03,791930340.104973
2019-11-04,1333487928.85567
2019-11-05,2769186824.13713
2019-11-06,1446365892.00296
2019-11-07,1410260957.176
2019-11-08,1458241138.12778
2019-11-09,1046596790.16888
2019-11-10,364320564.190368
2019-11-11,718863061.19166
2019-11-12,865205529.779822
2019-11-13,1486062566.37464
2019-11-14,946450282.515701
2019-11-15,1199132985.11859
2019-11-16,461834641.876112
2019-11-17,342818350.321039
2019-11-18,1043917564.33598
2019-11-19,923399726.065324
2019-11-20,870969121.524629
2019-11-21,1165992114.19976
2019-11-22,1691710108.35354
2019-11-23,1151153475.67428
2019-11-24,544401075.374676
2019-11-25,1313006695.02549
2019-11-26,1179814702.24228
2019-11-27,1513433741.15035
2019-11-28,769525352.625047
2019-11-29,1078007992.31578
2019-11-30,696535295.153311
2019-12-01,410180206.361161
2019-12-02,904057314.823355
2019-12-03,1101171350.2715
2019-12-04,1466498115.73916
2019-12-05,829793365.229581
2019-12-06,1235038809.93875
2019-12-07,842686832.919384
2019-12-08,307899861.771098
2019-12-09,984541456.77168
2019-12-10,1203358979.51588
2019-12-11,960237277.26307
