Date,Price,Open,High,Low
8/7/2013,1437.3,1437.3,1437.3,1437.3
8/8/2013,1462.2,1462.2,1462.2,1462.2
8/9/2013,1465.4,1465.4,1465.4,1465.4
8/10/2013,1488.2,1488.2,1488.2,1488.2
8/11/2013,1488.2,1488.2,1488.2,1488.2
8/12/2013,1488.2,1488.2,1488.2,1488.2
8/13/2013,1480,1480,1480,1480
8/14/2013,1492,1492,1492,1492
8/15/2013,1523.1,1523.1,1523.1,1523.1
8/16/2013,1539.5,1539.5,1539.5,1539.5
8/17/2013,1535.3,1535.3,1535.3,1535.3
8/18/2013,1535.3,1535.3,1535.3,1535.3
8/19/2013,1535.3,1535.3,1535.3,1535.3
8/20/2013,1540.5,1540.5,1540.5,1540.5
8/21/2013,1540.3,1540.3,1540.3,1540.3
8/22/2013,1550.3,1550.3,1550.3,1550.3
8/23/2013,1575.6,1575.6,1575.6,1575.6
8/24/2013,1570.7,1570.7,1570.7,1570.7
8/25/2013,1570.7,1570.7,1570.7,1570.7
8/26/2013,1570.7,1570.7,1570.7,1570.7
8/27/2013,1596,1596,1596,1596
